extract_timestamp|origin|destination|depart_date|best_price
2023-01-01 18:09:33.123456|JKTC|YIA|2023-01-01|535900.0
2023-01-01 18:19:28.123456|JKTC|YIA|2023-01-01|525900.0
2023-01-01 11:34:43.123456|JKTC|YIA|2023-01-01|525900.0
2023-01-02 20:19:50.123456|JKTC|YIA|2023-01-02|504100.0
2023-01-02 18:01:37.123456|JKTC|YIA|2023-01-02|514100.0
2023-01-03 17:00:33.123456|JKTC|YIA|2023-01-03|497500.0
2023-01-03 19:46:48.123456|JKTC|YIA|2023-01-03|497500.0
2023-01-04 13:35:08.123456|JKTC|YIA|2023-01-04|485000.0
2023-01-04 13:07:58.123456|JKTC|YIA|2023-01-04|485000.0
2023-01-04 09:06:44.123456|JKTC|YIA|2023-01-04|470000.0
2023-01-05 16:30:17.123456|JKTC|YIA|2023-01-05|528100.0
2023-01-05 14:30:55.123456|JKTC|YIA|2023-01-05|523100.0
2023-01-05 13:38:21.123456|JKTC|YIA|2023-01-05|533100.0
2023-01-05 10:19:50.123456|JKTC|YIA|2023-01-05|528100.0
2023-01-06 21:01:14.123456|JKTC|YIA|2023-01-06|557700.0
2023-01-06 10:02:03.123456|JKTC|YIA|2023-01-06|547700.0
2023-01-06 10:48:17.123456|JKTC|YIA|2023-01-06|547700.0
2023-01-07 20:45:06.123456|JKTC|YIA|2023-01-07|542400.0
2023-01-07 21:24:47.123456|JKTC|YIA|2023-01-07|537400.0
2023-01-07 16:12:31.123456|JKTC|YIA|2023-01-07|542400.0
2023-01-08 19:17:35.123456|JKTC|YIA|2023-01-08|568100.0
2023-01-08 21:03:41.123456|JKTC|YIA|2023-01-08|583100.0
2023-01-08 19:10:10.123456|JKTC|YIA|2023-01-08|568100.0
2023-01-09 20:38:08.123456|JKTC|YIA|2023-01-09|467700.0
2023-01-09 20:02:31.123456|JKTC|YIA|2023-01-09|457700.0
2023-01-10 10:24:21.123456|JKTC|YIA|2023-01-10|453200.0
2023-01-10 10:06:57.123456|JKTC|YIA|2023-01-10|458200.0
2023-01-10 17:11:48.123456|JKTC|YIA|2023-01-10|468200.0
2023-01-11 15:58:29.123456|JKTC|YIA|2023-01-11|477800.0
2023-01-11 20:31:08.123456|JKTC|YIA|2023-01-11|477800.0
2023-01-11 13:50:34.123456|JKTC|YIA|2023-01-11|482800.0
2023-01-11 10:16:11.123456|JKTC|YIA|2023-01-11|477800.0
2023-01-12 09:46:48.123456|JKTC|YIA|2023-01-12|499000.0
2023-01-12 09:49:58.123456|JKTC|YIA|2023-01-12|494000.0
2023-01-13 15:06:11.123456|JKTC|YIA|2023-01-13|542400.0
2023-01-13 13:53:52.123456|JKTC|YIA|2023-01-13|552400.0
2023-01-13 21:28:17.123456|JKTC|YIA|2023-01-13|552400.0
2023-01-14 14:36:05.123456|JKTC|YIA|2023-01-14|533700.0
2023-01-14 14:19:24.123456|JKTC|YIA|2023-01-14|533700.0
2023-01-14 16:55:31.123456|JKTC|YIA|2023-01-14|518700.0
2023-01-15 17:09:45.123456|JKTC|YIA|2023-01-15|509100.0
2023-01-15 18:13:20.123456|JKTC|YIA|2023-01-15|504100.0
2023-01-15 20:21:37.123456|JKTC|YIA|2023-01-15|509100.0
